Matches,Teams,Position,Wins,Losses,NRR
18,RCB,3,3,1,0.29
18,RR,5,2,1,1.22
18,SRH,8,1,2,-0.89
19,CSK,10,0,4,-1.21
19,DC,6,2,2,0.48
19,GT,2,3,0,0.35
19,KKR,1,3,2,0.45
19,LSG,4,3,1,0.26
19,MI,9,0,4,-1.18
19,PK,7,2,2,0.15
19,RCB,3,3,1,0.29
19,RR,5,2,1,1.22
19,SRH,8,1,2,-0.89
20,CSK,10,0,4,-1.211
20,DC,6,2,2,0.476
20,GT,3,3,0,0.349
20,KKR,2,3,2,0.446
20,LSG,5,3,2,0.174
20,MI,9,0,4,-1.181
20,PK,7,2,2,0.152
20,RCB,4,3,1,0.294
20,RR,1,3,1,0.951
20,SRH,8,1,2,-0.889
21,CSK,10,0,4,-1.21
21,DC,6,2,2,0.48
21,GT,5,3,1,0.1
21,KKR,2,3,2,0.45
21,LSG,4,3,2,0.17
21,MI,9,0,4,-1.18
21,PK,7,2,2,0.15
21,RCB,3,3,1,0.29
21,RR,1,3,1,0.95
21,SRH,8,2,2,-0.5
22,CSK,9,1,4,-0.75
22,DC,6,2,2,0.48
22,GT,4,3,1,0.1
22,KKR,2,3,2,0.45
22,LSG,3,3,2,0.17
22,MI,10,0,4,-1.18
22,PK,7,2,2,0.15
22,RCB,5,3,2,0.01
22,RR,1,3,1,0.95
22,SRH,8,2,2,-0.5
23,CSK,9,1,4,-0.75
23,DC,7,2,2,0.48
23,GT,5,3,1,0.1
23,KKR,2,3,2,0.45
23,LSG,4,3,2,0.17
23,MI,10,0,5,-1.07
23,PK,3,3,2,0.24
23,RCB,6,3,2,0.01
23,RR,1,3,1,0.95
23,SRH,8,2,2,-0.5
24,CSK,9,1,4,-0.75
24,DC,7,2,2,0.48
24,GT,1,4,1,0.45
24,KKR,2,3,2,0.45
24,LSG,5,3,2,0.17
24,MI,10,0,5,-1.07
24,PK,4,3,2,0.24
24,RCB,6,3,2,0.01
24,RR,3,3,2,0.39
24,SRH,8,2,2,-0.5
25,CSK,9,1,4,-0.75
25,DC,8,2,2,0.48
25,GT,1,4,1,0.45
25,KKR,4,3,3,0.22
25,LSG,5,3,2,0.17
25,MI,10,0,5,-1.07
25,PK,3,3,2,0.24
25,RCB,6,3,2,0.01
25,RR,2,3,2,0.39
25,SRH,7,3,2,-0.2
26,CSK,9,1,4,-0.75
26,DC,8,2,2,0.48
26,GT,1,4,1,0.45
26,KKR,5,3,3,0.22
26,LSG,2,4,2,0.3
26,MI,10,0,6,-1.05
26,PK,4,3,2,0.24
26,RCB,6,3,2,0.01
26,RR,3,3,2,0.39
26,SRH,7,3,2,-0.2
27,CSK,9,1,4,-0.75
27,DC,8,2,3,0.22
27,GT,1,4,1,0.45
27,KKR,6,3,3,0.22
27,LSG,2,4,2,0.3
27,MI,10,0,6,-1.05
27,PK,5,3,2,0.24
27,RCB,3,4,2,0.14
27,RR,4,3,2,0.39
27,SRH,7,3,2,-0.2
28,CSK,9,1,4,-0.75
28,DC,8,2,3,0.22
28,GT,1,4,1,0.45
28,KKR,6,3,3,0.22
28,LSG,2,4,2,0.3
28,MI,10,0,6,-1.05
28,PK,7,3,3,0.11
28,RCB,3,4,2,0.14
28,RR,5,3,2,0.39
28,SRH,4,4,2,-0.08
29,CSK,9,1,5,-0.63
29,DC,8,2,3,0.22
29,GT,1,5,1,0.39
29,KKR,6,3,3,0.22
29,LSG,2,4,2,0.3
29,MI,10,0,6,-1.05
29,PK,7,3,3,0.11
29,RCB,3,4,2,0.14
29,RR,5,3,2,0.39
29,SRH,4,4,2,-0.08
30,CSK,9,1,5,-0.638
30,DC,8,2,3,0.219
30,GT,1,5,1,0.395
30,KKR,6,3,4,0.16
30,LSG,3,4,2,0.296
30,MI,10,0,6,-1.048
30,PK,7,3,3,0.109
30,RCB,4,4,2,0.142
30,RR,2,4,2,0.38
30,SRH,5,4,2,-0.077
31,CSK,9,1,5,-0.638
31,DC,8,2,3,0.219
31,GT,1,5,1,0.395
31,KKR,6,3,4,0.16
31,LSG,4,4,3,0.12
31,MI,10,0,6,-1.048
31,PK,7,3,3,0.109
31,RCB,2,5,2,0.25
31,RR,3,4,2,0.38
31,SRH,5,4,2,-0.077
32,CSK,9,1,5,-0.638
32,DC,6,3,3,0.94
32,GT,1,5,1,0.395
32,KKR,7,3,4,0.16
32,LSG,4,4,3,0.12
32,MI,10,0,6,-1.048
32,PK,8,3,4,-0.56
32,RCB,2,5,2,0.25
32,RR,3,4,2,0.38
32,SRH,5,4,2,-0.077
33,CSK,9,2,5,-0.53
33,DC,6,3,3,0.94
33,GT,1,5,1,0.4
33,KKR,7,3,4,0.16
33,LSG,4,4,3,0.12
33,MI,10,0,7,-0.89
33,PK,8,3,4,-0.56
33,RCB,2,5,2,0.25
33,RR,3,4,2,0.38
33,SRH,5,4,2,-0.08
34,CSK,9,2,5,-0.53
34,DC,6,3,4,0.71
34,GT,2,5,1,0.4
34,KKR,7,3,4,0.16
34,LSG,4,4,3,0.12
34,MI,10,0,7,-0.89
34,PK,8,3,4,-0.56
34,RCB,3,5,2,0.25
34,RR,1,5,2,0.43
34,SRH,5,4,2,-0.08
35,CSK,9,2,5,-0.53
35,DC,6,3,4,0.71
35,GT,1,6,1,0.39
35,KKR,7,3,5,0.08
35,LSG,5,4,3,0.12
35,MI,10,0,7,-0.89
35,PK,8,3,4,-0.56
35,RCB,4,5,3,-0.47
35,RR,3,5,2,0.43
35,SRH,2,5,2,0.69
36,CSK,9,2,5,-0.53
36,DC,6,3,4,0.71
36,GT,1,6,1,0.39
36,KKR,7,3,5,0.08
36,LSG,5,4,3,0.12
36,MI,10,0,7,-0.89
36,PK,8,3,4,-0.56
36,RCB,4,5,3,-0.47
36,RR,3,5,2,0.43
36,SRH,2,5,2,0.69
37,CSK,9,2,5,-0.53
